0,Something,0,0
1,Stem Library,1,1
2,Smith Performing Arts Center,1,3
3,Engineering Building,1,4
4,Stamp Student Union,1,8
5,Hornbake Library,1,3
6,Chemistry Building,1,1
7,Moxley Gardens at Alumni Center,1,1
8,Edward St. John (ESJ),2,3
9,McKeldin Library,2,6
10,Art Building,2,1
11,Benjamin Building,2,1
12,Tawes Hall,2,2
13,Peace and Friendship Garden,2,1
14,Buildings with Classroom Space,2,0
15,Architecture Library,3,1
16,Memorial Chapel Garden,3,1
17,LeFrak Hall,3,1
18,Niels Bohr Library,4,1
19,Hyattsville Public Library,4,1
20,Starbucks,4,1
21,Vigilante Coffee,4,1
